,SiO2,TiO2,Al2O3,Fe2O3TOT,MnO,MgO,CaO,Na2O,K2O,P2O5,S,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Nd,Pb,Th,U
P460,64.46,0.76,17.84,5.76,0.1,1.05,2.09,2.77,3.64,0.28,6624,79,78,11,64,49,128,26,127,521,34,336,48,999,26,13,20,17,11,1
P461,63.18,1.51,18.87,5.1,0.11,1.11,2.1,2.77,4.04,0.31,2659,81,47,34,53,48,120,27,131,450,41,431,66,1170,28,5,24,2,4,1
P464,65.92,1.03,17,5.4,0.11,1.14,1.89,2.55,3.8,0.2,2700,86,90,12,67,42,127,24,138,467,41,399,52,1087,24,5,27,2,1,1
P477,63.79,1.56,17.71,4.8,0.15,1.06,2.55,2.93,4.19,0.45,1998,94,42,25,49,39,115,23,135,525,40,410,46,1386,25,5,33,2,8,1
P478,64.61,0.96,18,6.42,0.13,1.14,1.98,2.08,3.25,0.32,4076,97,103,22,80,39,135,26,127,486,53,334,45,1175,24,5,28,2,6,1
P481,66.03,1.04,16.87,5.07,0.1,1.02,1.89,2.72,3.86,0.23,3926,75,76,18,65,46,133,25,142,470,38,413,61,1063,25,5,22,2,7,1
P485,62.7,0.88,18.9,6.35,0.12,1.25,2.23,2.07,3.15,0.37,6752,99,101,22,104,51,140,31,136,587,46,226,53,1149,20,5,16,22,11,1
P493,62.69,1.13,19.28,5.81,0.07,1.3,2.03,2.85,3.95,0.43,393,86,63,14,57,31,115,24,134,323,50,423,42,729,28,33,37,6,11,1
P501,61.07,1.82,18.68,6.91,0.07,1.02,2.61,2.93,3.47,0.67,5994,110,64,24,45,54,115,28,105,657,35,364,61,837,22,12,19,8,1,1
P510,65.85,0.77,18.29,6.05,0.12,1.49,1.81,1.03,2.91,0.21,6112,110,110,48,104,75,147,26,134,531,45,175,22,971,24,27,25,16,8,1
P511,63.4,1.29,17.85,5.87,0.1,1.38,2.43,2.63,3.8,0.34,1414,81,69,20,91,41,122,23,137,512,50,387,38,972,34,18,28,2,6,1
P512,66.42,0.61,18,6.92,0.11,1.51,1.61,0.72,2.61,0.19,5701,103,117,26,110,69,165,23,117,481,35,107,13,911,20,5,21,14,8,1
P513,60.33,1.48,18.28,7.92,0.07,1.72,2.89,2.95,3.31,0.4,1709,102,62,18,54,45,142,23,90,690,37,357,47,904,31,25,34,24,1,5
P515,65.01,0.78,18.05,6.33,0.12,1.31,2.19,1.62,3.08,0.27,6045,103,96,24,92,55,164,22,120,620,47,255,26,1211,22,5,21,17,8,1
P518,62.85,0.84,18.74,6.91,0.14,1.18,1.97,2.23,3.45,0.25,4709,94,101,20,95,39,132,28,128,535,57,302,45,1153,29,5,35,9,9,1
P521,61.28,0.67,21.59,8.35,0.11,1.6,2.3,0.63,2.82,0.2,2999,145,139,24,118,92,161,32,160,320,79,127,36,899,25,5,43,41,13,1
P529,63.21,0.8,20.15,8.03,0.13,1.4,1.95,1.05,2.52,0.18,2635,138,138,23,106,59,139,28,134,261,75,228,25,743,30,5,24,30,13,1
P534,63.51,1.05,18.26,6.07,0.12,1.23,2.44,2.58,3.76,0.23,4856,89,80,17,65,32,127,25,131,355,51,424,44,1068,37,15,29,10,9,1
P547,63.4,1.11,19.07,6.22,0.1,1.48,1.89,1.97,3.35,0.39,4941,109,88,23,83,50,151,25,127,529,47,316,27,1007,29,12,28,10,7,1
P554,65.07,0.77,17.99,6.01,0.12,1.24,2.04,2.05,3.32,0.22,7188,83,90,20,77,56,139,22,141,544,36,275,26,1051,24,5,25,2,8,1
P556a,63.9,1.09,18.31,6.03,0.12,1.36,2.04,2.18,3.67,0.35,5473,95,81,25,72,67,129,24,131,522,38,330,29,1044,19,15,31,10,7,1
P557,61.81,1.08,19.92,5.71,0.08,1.22,2.5,2.53,3.97,0.37,4208,80,71,12,67,63,170,23,114,598,32,396,54,1211,26,5,35,2,8,1
P558,67.14,0.94,16.93,5.9,0.04,1.11,1.54,2.09,3.39,0.19,2194,86,81,9,61,51,91,22,119,384,34,353,41,967,26,5,30,13,9,1
P559,66.98,0.89,16.99,6.39,0.1,1.17,1.68,1.45,2.7,0.18,6112,105,106,16,69,55,108,22,128,374,35,258,14,598,21,15,19,19,8,1
P560b,65.47,0.9,18,4.72,0.14,1.11,1.98,2.65,4.05,0.28,1594,75,67,14,70,48,138,24,124,496,74,371,47,1533,39,5,34,2,10,1
P565,63.25,0.81,20.42,5.44,0.1,1.04,1.82,2.46,3.76,0.25,3010,87,82,17,93,59,129,25,153,447,32,297,41,878,26,5,22,2,12,1
P574,62.68,1,19.47,6.72,0.08,1.35,2.45,0.68,3.98,0.34,5922,156,160,18,100,42,223,33,140,601,32,83,70,1320,5,5,5,24,11,1
P583,68.15,0.7,16.09,4.72,0.11,1.1,1.94,2.54,3.31,0.19,3393,64,73,14,64,56,130,24,108,458,23,288,46,771,17,13,24,12,10,1
P584,60.93,0.99,19.85,7.48,0.13,1.39,2.23,1.74,3.14,0.54,8216,115,122,18,127,55,171,28,129,666,58,217,48,1416,21,5,32,25,10,1
P585,63.89,1.09,19.07,5.03,0.07,0.95,2.1,2.97,3.92,0.48,3443,61,38,14,42,28,119,25,114,501,44,594,67,1027,27,5,25,2,1,1
P588,65.98,0.79,19.2,3.88,0.06,0.65,1.61,3.16,3.94,0.2,2069,43,37,10,33,27,83,25,119,363,26,721,83,1171,28,5,14,2,7,1
P594,64.23,1.51,17.81,5.65,0.09,1.73,1.63,3.09,3.63,0.14,5418,93,160,20,73,38,133,28,110,380,34,511,58,933,17,5,30,2,1,1
P595,62.65,0.87,19.97,6.88,0.14,1.22,2.24,1.95,3.46,0.25,4822,106,96,17,91,50,142,28,120,552,74,316,48,1256,32,5,36,16,11,1
P599,67.75,0.81,16.97,6.44,0.19,1.23,1.88,1.19,2.57,0.19,4959,123,116,19,84,71,139,24,109,408,44,227,25,1152,22,5,20,25,10,1
P605,63.66,0.94,19.65,7.43,0.16,1.74,2.43,0.85,2.58,0.14,2560,145,143,29,113,61,141,23,143,235,83,287,6,822,32,18,35,25,10,1
P610,65.57,0.88,17.3,5.57,0.13,1.17,2.17,2.27,3.47,0.25,5124,93,96,15,74,56,138,25,126,518,46,335,41,1140,21,5,32,11,10,1
P620,63.02,1.08,19.52,5.18,0.08,1.24,2.1,2.79,4.03,0.26,1935,68,62,11,56,42,159,26,117,577,29,409,59,1157,32,5,35,2,11,1
P621,64.29,1.02,17.97,5.32,0.13,1.23,2.56,2.67,3.68,0.22,2959,81,76,14,65,40,127,24,126,470,43,382,43,1152,28,5,34,6,10,1
P626,64.35,0.83,17.94,6.41,0.17,1.29,2.08,2.16,3.47,0.22,5298,88,80,22,83,45,151,24,130,522,43,321,32,966,27,13,35,13,9,1
P632,65.47,0.95,17.98,5.78,0.1,1.19,2.59,1.83,3.1,0.35,2585,105,83,18,75,71,122,24,135,548,70,242,20,868,35,16,36,19,8,1
P633,62.1,1.03,21.23,5.85,0.04,0.93,1.09,3.43,3.32,0.11,243,51,31,6,24,29,95,28,108,369,21,546,66,771,25,23,25,2,4,1
P636,63.19,1.15,18.66,6.68,0.1,1.44,2.25,2.16,3.36,0.4,4150,109,97,22,78,50,145,26,119,536,51,319,38,1108,24,20,33,14,9,1
P642,63.64,1.15,17.34,6.72,0.12,1.7,4.43,1.13,2.44,0.2,8187,132,146,23,121,49,149,24,116,488,46,252,34,1017,23,5,23,37,10,1
P643,58.54,0.8,22.95,9.25,0.15,1.9,1.73,0.82,3.04,0.14,3257,152,167,28,153,195,157,35,172,299,79,152,37,1048,37,17,44,48,15,1
P647,62.64,1.19,19.1,6.17,0.13,1.36,1.97,2.16,3.62,0.34,6517,119,111,22,83,49,113,27,111,543,45,300,39,1072,28,22,32,35,10,1
P650,61.82,1.7,16.9,6.8,0.12,1.71,2.98,3.04,3.57,0.37,3159,81,60,27,58,44,134,21,112,611,48,374,43,874,36,26,44,12,6,1
P654,44.53,0.82,11.43,3.92,0.1,1.56,33.69,0.68,1.8,0.3,8197,97,89,13,86,43,178,13,81,898,38,72,18,549,5,19,23,129,9,1
P703,63.91,1.03,18.29,5.57,0.12,1.14,2.34,2.99,3.88,0.32,3373,84,87,16,85,44,120,26,132,356,49,400,55,889,30,19,30,26,14,1
S8-8,67.77,0.76,17.19,5.45,0.09,1.18,2.02,1.59,3.17,0.23,927,85,107,16,104,36,148,26,159,576,42,154,61,968,19,5,18,14,11,1
